"X","State.Code","County.Code","Site.Num","Address","State","County","City","Date.Local","NO2.Units","NO2.Mean","NO2.1st.Max.Value","NO2.1st.Max.Hour","NO2.AQI","O3.Units","O3.Mean","O3.1st.Max.Value","O3.1st.Max.Hour","O3.AQI","SO2.Units","SO2.Mean","SO2.1st.Max.Value","SO2.1st.Max.Hour","SO2.AQI","CO.Units","CO.Mean","CO.1st.Max.Value","CO.1st.Max.Hour","CO.AQI"
"1","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-01","Parts per billion","2.520833","4.1","11","4","Parts per million","0.022292","0.027","13","25","Parts per billion","0.413636","1.2","3","1","Parts per million","0.1","0.1","7","1"
"5","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-02","Parts per billion","8.4375","27.5","18","25","Parts per million","0.015333","0.03","9","28","Parts per billion","0.663636","1.4","3","1","Parts per million","0.166667","0.5","23","6"
"9","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-03","Parts per billion","12.75","20.7","8","19","Parts per million","0.017208","0.026","9","24","Parts per billion","0.863636","1.9","3","1","Parts per million","0.333333","0.6","1","7"
"13","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-04","Parts per billion","3.141667","6.1","2","6","Parts per million","0.025292","0.028","8","26","Parts per billion","0.51","2.1","3","3","Parts per million","0.116667","0.2","0","2"
"17","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-05","Parts per billion","9.316667","28.5","19","26","Parts per million","0.021917","0.03","9","28","Parts per billion","0.75","2.7","3","3","Parts per million","0.6375","1.8","6","20"
"21","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-06","Parts per billion","14.5875","34.7","19","32","Parts per million","0.01825","0.03","9","28","Parts per billion","0.859091","1.6","3","1","Parts per million","0.15","0.3","23","3"
"25","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-07","Parts per billion","17.854167","31.2","18","29","Parts per million","0.014042","0.019","7","18","Parts per billion","1","2.1","3","3","Parts per million","0.25","0.3","0","3"
"29","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-08","Parts per billion","11.408333","27.6","18","25","Parts per million","0.017458","0.023","9","21","Parts per billion","0.131818","0.3","0","0","Parts per million","0.229167","0.3","0","3"
"33","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-09","Parts per billion","4.7625","9.9","8","8","Parts per million","0.020042","0.025","16","23","Parts per billion","0.013636","0.1","3","0","Parts per million","0.170833","0.3","0","3"
"37","1","73","23","NO. B'HAM,SOU R.R., 3009 28TH ST. NO.","Alabama","Jefferson","Birmingham","2016-01-10","Parts per billion","3.429167","12.2","18","11","Parts per million","0.020458","0.025","13","23","Parts per billion","0.127273","1","22","1","Parts per million","0.141667","0.2","0","2"
